code,Unnamed: 0,title,pub_date,citations,abstract,class,year,abstract_processed,topic,class_topic,core,louvain,topiclouvain,GTcore
JP6239807B1,41,Method and system for behavior analysis of mobile device behavior based on user persona information ,2017-11-29,"['KR101720930B1', 'CN106575327B', 'US9747430B2', 'US10089459B2', 'US20190108353A1', 'CN107077551B', 'KR20160138982A', 'US9378390B2', 'US10735432B2', 'JP5976780B2', 'KR101810346B1', 'US10728270B2', 'US20190281076A1', 'US10304114B2', 'US9779236B2', 'KR20170015129A', 'US20180375869A1', 'CN105531712B', 'US9747440B2', 'KR102057565B1', 'CN104272787B', 'US9756066B2', 'US20170353817A1']","

 The computing device processor identifies behavioral techniques and machine learning techniques to identify, prevent, correct, or otherwise respond to malicious or performance degrading behavior of computing devices. It may consist of processor executable instructions for implementing the method used. As part of these actions, the processor generates user persona information that characterizes the user based on the user's activity, preferences, age, occupation, habit, mood, emotional state, personality, device usage pattern, etc. Can do. The processor dynamically determines the number of device features that are monitored or evaluated within the computing device and is most relevant to determining if the device behavior does not match the pattern of normal usage of the computing device by the user The persona information of the user can be used to identify the device behavior to do and to better identify or respond better to the non-benign behavior of the computing device.

",G06,2017,"

 the computing device processor identifies behavioral techniques and machine learning techniques to identify prevent correct or otherwise respond to malicious or performance degrading behavior of computing devices it may consist of processor executable instructions for implementing the method used as part of these actions the processor generates user persona information that characterizes the user based on the user's activity preferences age occupation habit mood emotional state personality device usage pattern etc can do the processor dynamically determines the number of device features that are monitored or evaluated within the computing device and is most relevant to determining if the device behavior does not match the pattern of normal usage of the computing device by the user the persona information of the user can be used to identify the device behavior to do and to better identify or respond better to the non-benign behavior of the computing device

",0,G06_0,2,5.0,5.0,5.0
US10104107B2,162,Methods and systems for behavior-specific actuation for real-time whitelisting ,2018-10-16,"['JP6140808B2', 'JP6188956B2', 'US9596257B2', 'CN105830080B', 'CN106133642B', 'US8584242B2', 'US9779236B2', 'WO2018086544A1', 'US9189624B2', 'CN106716382B', 'US9753796B2', 'CN107580699A', 'KR102057565B1', 'US10762206B2', 'EP3271860B1', 'US10783254B2', 'JP6161807B2', 'US9756066B2', 'US10742676B2']","
Various embodiments include methods of evaluating device behaviors in a computing device and enabling white listing of particular behaviors. Various embodiments may include monitoring activities of a software application operating on the computing device, and generating a behavior vector information structure that characterizes a first monitored activity of the software application. The behavior vector information structure may be applied to a machine learning classifier model to generate analysis results. The analysis results may be used to classify the first monitored activity of the software application as one of benign, suspicious, and non-benign. A prompt may be displayed to the user that requests that the user select whether to whitelist the software application in response to classifying the first monitored activity of the software application as suspicious or non-benign. The first monitored activity may be added to a whitelist of device behaviors in response to receiving a user input.
",G06,2018,"
various embodiments include methods of evaluating device behaviors in a computing device and enabling white listing of particular behaviors various embodiments may include monitoring activities of a software application operating on the computing device and generating a behavior vector information structure that characterizes a first monitored activity of the software application the behavior vector information structure may be applied to a machine learning classifier model to generate analysis results the analysis results may be used to classify the first monitored activity of the software application as one of benign suspicious and non-benign a prompt may be displayed to the user that requests that the user select whether to whitelist the software application in response to classifying the first monitored activity of the software application as suspicious or non-benign the first monitored activity may be added to a whitelist of device behaviors in response to receiving a user input
",0,G06_0,2,5.0,5.0,5.0
US9910984B2,164,Methods and systems for on-device high-granularity classification of device behaviors using multi-label models ,2018-03-06,"['US9779236B2', 'KR102160659B1', 'EP2836955B1', 'US9747440B2', 'KR102057565B1', 'CN105830080B', 'US10762206B2', 'EP3271860B1', 'US9189624B2', 'US20190318089A1', 'JP6161807B2', 'US9756066B2', 'CN106133642B', 'JP6188956B2', 'CN106716382B', 'US9753796B2', 'US10742676B2']","
Various aspects include methods and computing devices implementing the methods for evaluating device behaviors in the computing devices. Aspect methods may include using a behavior-based machine learning technique to classify a device behavior as one of benign, suspicious, and non-benign. Aspect methods may include using one of a multi-label classification and a meta-classification technique to sub-classify the device behavior into one or more sub-categories. Aspect methods may include determining a relative importance of the device behavior based on the sub-classification, and determining whether to perform robust behavior-based operations based on the determined relative importance of the device behavior.
",G06,2018,"
various aspects include methods and computing devices implementing the methods for evaluating device behaviors in the computing devices aspect methods may include using a behavior-based machine learning technique to classify a device behavior as one of benign suspicious and non-benign aspect methods may include using one of a multi-label classification and a meta-classification technique to sub-classify the device behavior into one or more sub-categories aspect methods may include determining a relative importance of the device behavior based on the sub-classification and determining whether to perform robust behavior-based operations based on the determined relative importance of the device behavior
",0,G06_0,2,5.0,5.0,5.0
US9330257B2,183,Adaptive observation of behavioral features on a mobile device ,2016-05-03,"['US10015178B2', 'US10397262B2', 'TWI606360B', 'EP3375159B1', 'CN105830080B', 'US10505991B1', 'JP6709845B2', 'US10419458B2', 'JP6161807B2', 'US10516686B2', 'US10097561B2', 'US10681060B2', 'US10341363B1', 'US20190068627A1', 'US20180041537A1']","
Methods, devices and systems for detecting suspicious or performance-degrading mobile device behaviors intelligently, dynamically, and/or adaptively determine computing device behaviors that are to be observed, the number of behaviors that are to be observed, and the level of detail or granularity at which the mobile device behaviors are to be observed. The various aspects efficiently identify suspicious or performance-degrading mobile device behaviors without requiring an excessive amount of processing, memory, or energy resources.
",G06,2016,"
methods devices and systems for detecting suspicious or performance-degrading mobile device behaviors intelligently dynamically and/or adaptively determine computing device behaviors that are to be observed the number of behaviors that are to be observed and the level of detail or granularity at which the mobile device behaviors are to be observed the various aspects efficiently identify suspicious or performance-degrading mobile device behaviors without requiring an excessive amount of processing memory or energy resources
",0,G06_0,2,5.0,5.0,5.0
US9158604B1,184,Lightweight data-flow tracker for realtime behavioral analysis using control flow ,2015-10-13,"['JP6235000B2', 'US20180300484A1', 'US20140201807A1', 'KR102057565B1', 'CN105830080B', 'US10762206B2', 'US10122747B2', 'US9813445B2', 'US10063585B2', 'JP6161807B2', 'US9438620B2', 'US9753796B2', 'US8584242B2']","
Methods and devices for detecting performance-degrading behaviors include identifying a data source component that inputs data into an application executing on a mobile device, and identifying a data sink component that consumes data output from the application. Using a measured runtime control-flow parameter, a likelihood that the data source component is a critical data resource may be determined. Using the probability value, a behavior model that identifies a mobile device feature associated with the critical data resource may be updated and used to determine whether the software application is malicious. Measured runtime control-flow parameters may include a program execution distance between data source and sink components based on heuristics. Determining program execution distances between data sources and sinks may include computing call graph distances by comparing a source call stack length and a sink call stack length, or by counting method invocations or functional calls between data sources and sinks.
",G06,2015,"
methods and devices for detecting performance-degrading behaviors include identifying a data source component that inputs data into an application executing on a mobile device and identifying a data sink component that consumes data output from the application using a measured runtime control-flow parameter a likelihood that the data source component is a critical data resource may be determined using the probability value a behavior model that identifies a mobile device feature associated with the critical data resource may be updated and used to determine whether the software application is malicious measured runtime control-flow parameters may include a program execution distance between data source and sink components based on heuristics determining program execution distances between data sources and sinks may include computing call graph distances by comparing a source call stack length and a sink call stack length or by counting method invocations or functional calls between data sources and sinks
",0,G06_0,2,5.0,5.0,5.0
US9774614B2,190,Methods and systems for side channel analysis detection and protection ,2017-09-26,"['US20190245894A1', 'EP2850864B1', 'US9747440B2', 'US10762206B2', 'EP3271860B1', 'CN104541293B', 'US9742559B2', 'US10783254B2', 'JP6161807B2', 'CN106133642B', 'CN106716382B', 'US9753796B2', 'US10742676B2', 'US20180041537A1']","
A computing device may use machine learning techniques to determine whether a side channel attack is underway and perform obfuscation operations (e.g., operations to raise the noise floor) or other similar operations to stop or prevent a detected side channel attack. The computing device may determine that a side channel attack is underway in response to determining that the computing device is in airplane mode, that the battery of the computing device the battery has been replaced with a stable DC power supply, that the touch-screen display of the computing device has been disconnected, that there are continuous calls to a cipher application programming interface (API) using the same cipher key, that there has been tampering with a behavioral analysis engine of the computing device, or any combination thereof.
",H04,2017,"
a computing device may use machine learning techniques to determine whether a side channel attack is underway and perform obfuscation operations (eg operations to raise the noise floor) or other similar operations to stop or prevent a detected side channel attack the computing device may determine that a side channel attack is underway in response to determining that the computing device is in airplane mode that the battery of the computing device the battery has been replaced with a stable dc power supply that the touch-screen display of the computing device has been disconnected that there are continuous calls to a cipher application programming interface (api) using the same cipher key that there has been tampering with a behavioral analysis engine of the computing device or any combination thereof
",0,H04_0,2,5.0,5.0,5.0
US10762206B2,243,Automated behavioral and static analysis using an instrumented sandbox and machine learning classification for mobile security ,2020-09-01,"['US20190245894A1', 'US10482260B1', 'US10104107B2', 'US10509910B2', 'US9940454B2', 'US20190363893A1', 'US10121000B1', 'US10516531B2', 'US10673902B2', 'US10225286B2', 'US10382459B2', 'US10079859B2', 'US10558800B2', 'AU2015380394B2', 'US9563749B2', 'US9582668B2', 'US10609059B2', 'US10817602B2', 'US10162970B2', 'US10102372B2']","
A method comprises, based on receiving a request to analyze at least a first mobile application, scheduling the request for a first sandbox. The first mobile application is analyzed based on the request, wherein the analysis of the first mobile application comprises performing a behavioral analysis of the first mobile application within the first sandbox and performing a static analysis of the first mobile application. A first feature vector is generated based on data resulting from the analysis of the first mobile application. The first mobile application is determined to comprise malware based, at least in part, on comparing the first feature vector with at least a second feature vector, wherein the second feature vector was generated based on at least one of a static analysis and a behavioral analysis of malware.
",G06,2020,"
a method comprises based on receiving a request to analyze at least a first mobile application scheduling the request for a first sandbox the first mobile application is analyzed based on the request wherein the analysis of the first mobile application comprises performing a behavioral analysis of the first mobile application within the first sandbox and performing a static analysis of the first mobile application a first feature vector is generated based on data resulting from the analysis of the first mobile application the first mobile application is determined to comprise malware based at least in part on comparing the first feature vector with at least a second feature vector wherein the second feature vector was generated based on at least one of a static analysis and a behavioral analysis of malware
",0,G06_0,2,9.0,95.0,5.0
US9756066B2,279,Secure behavior analysis over trusted execution environment ,2017-09-05,"['US9852292B2', 'US10333989B2', 'US10834061B2', 'US10089582B2', 'US10516682B2', 'US10516531B2', 'JP6650439B2', 'US9684775B2', 'KR101789962B1', 'EP3375159B1', 'US10038702B2', 'US9324034B2', 'US10681078B2', 'KR101848576B1', 'US10382459B2', 'US10558800B2', 'US9684870B2', 'US9740859B2', 'US8776180B2', 'US10817602B2', 'US20190349377A1', 'US9794270B2']","
Systems and methods for recognizing and reacting to malicious or performance-degrading behaviors in a mobile computing device include observing mobile device behaviors in an observer module within a privileged-normal portion of a secure operating environment to identify a suspicious mobile device behavior. The observer module may generate a behavior vector based on the observations, and provide the vector to an analyzer module in an unprivileged-secure portion of the secure operating environment. The vector may be analyzed in the unprivileged-secure portion to determine whether the mobile device behavior is benign, suspicious, malicious, or performance-degrading. If the behavior is found to be suspicious, operations of the observer module may be adjusted, such as to perform deeper observations. If the behavior is found to be malicious or performance-degrading behavior the user and/or a client module may be alerted in a secure, tamper-proof manner.
",H04,2017,"
systems and methods for recognizing and reacting to malicious or performance-degrading behaviors in a mobile computing device include observing mobile device behaviors in an observer module within a privileged-normal portion of a secure operating environment to identify a suspicious mobile device behavior the observer module may generate a behavior vector based on the observations and provide the vector to an analyzer module in an unprivileged-secure portion of the secure operating environment the vector may be analyzed in the unprivileged-secure portion to determine whether the mobile device behavior is benign suspicious malicious or performance-degrading if the behavior is found to be suspicious operations of the observer module may be adjusted such as to perform deeper observations if the behavior is found to be malicious or performance-degrading behavior the user and/or a client module may be alerted in a secure tamper-proof manner
",0,H04_0,2,9.0,5.0,5.0
US20190068627A1,281,Cloud based security monitoring using unsupervised pattern recognition and deep learning ,2019-02-28,"['US10853161B2', 'JP2019153330A', 'US10484378B2', 'US10447708B2', 'US10735196B2', 'US9923905B2', 'US10541988B2', 'US9785795B2', 'US20190014153A1', 'JP6474890B2', 'EP3198472B1', 'US10348759B2', 'US9740859B2', 'US9571512B2', 'JP6412943B2', 'US9350749B2', 'JP6687799B2', 'US9548994B2', 'US9667661B2', 'US20190007441A1', 'US10375026B2', 'EP3271860B1', 'US10719625B2', 'EP3195560B1', 'EP3183666B1']","
Provided are systems and methods for a cloud security system that learns patterns of user behavior and uses the patterns to detect anomalous behavior in a network. Techniques discussed herein include obtaining activity data from a service provider system. The activity data describes actions performed during use of a cloud service over a period of time. A pattern corresponding to a series of actions performed over a subset of time can be identified. The pattern can be added a model associated with the cloud service. The model represents usage of the cloud service by the one or more users. Additional activity data can be obtained from the service provider system. Using the model, a set of actions can be identified in the additional activity data that do not correspond to the model. The set of actions and an indicator that identifies the set of actions as anomalous can be output.
",H04,2019,"
provided are systems and methods for a cloud security system that learns patterns of user behavior and uses the patterns to detect anomalous behavior in a network techniques discussed herein include obtaining activity data from a service provider system the activity data describes actions performed during use of a cloud service over a period of time a pattern corresponding to a series of actions performed over a subset of time can be identified the pattern can be added a model associated with the cloud service the model represents usage of the cloud service by the one or more users additional activity data can be obtained from the service provider system using the model a set of actions can be identified in the additional activity data that do not correspond to the model the set of actions and an indicator that identifies the set of actions as anomalous can be output
",0,H04_0,2,5.0,5.0,5.0
US9747440B2,282,On-line behavioral analysis engine in mobile device with multiple analyzer model providers ,2017-08-29,"['US20190245894A1', 'US20190268302A1', 'US9940454B2', 'US20190363893A1', 'US9973517B2', 'US9098697B2', 'EP3375159B1', 'US10038702B2', 'US10270786B2', 'US9992228B2', 'US20180041537A1', 'US10701091B1', 'JP2017538186A', 'JP6239807B1', 'US9438613B1', 'US9740859B2', 'US9571512B2', 'US20180167402A1', 'US20160125184A1', 'US9967264B2', 'US10762206B2', 'US10742676B2']","
Methods, systems and devices for generating data models in a client-cloud communication system may include applying machine learning techniques to generate a first family of classifier models that describe a cloud corpus of behavior vectors. Such vectors may be analyzed to identify factors in the first family of classifier models that have the highest probability of enabling a mobile device to better determine whether a mobile device behavior is malicious or benign. Based on this analysis, a second family of classifier models may be generated that identify significantly fewer factors and data points as being relevant for enabling the mobile device to better determine whether the mobile device behavior is malicious or benign based on the determined factors. A mobile device classifier module based on the second family of classifier models may be generated and made available for download by mobile devices, including devices contributing behavior vectors.
",G06,2017,"
methods systems and devices for generating data models in a client-cloud communication system may include applying machine learning techniques to generate a first family of classifier models that describe a cloud corpus of behavior vectors such vectors may be analyzed to identify factors in the first family of classifier models that have the highest probability of enabling a mobile device to better determine whether a mobile device behavior is malicious or benign based on this analysis a second family of classifier models may be generated that identify significantly fewer factors and data points as being relevant for enabling the mobile device to better determine whether the mobile device behavior is malicious or benign based on the determined factors a mobile device classifier module based on the second family of classifier models may be generated and made available for download by mobile devices including devices contributing behavior vectors
",0,G06_0,2,9.0,5.0,5.0
CN104541293B,293,Framework for client cloud behavior analyzer ,2018-02-06,"['US10104107B2', 'JP6630276B2', 'US10740358B2', 'US10140441B2', 'EP2447809B1', 'US20140123289A1', 'US10893055B2', 'CN107077551B', 'CN104348829B', 'US9152787B2', 'US9607146B2', 'JP6227666B2', 'JP6732317B2', 'US10803408B2', 'US20170227995A1', 'US9213831B2', 'EP2801049B1', 'US9613476B2', 'EP3271860B1', 'US9448859B2', 'US9781106B1']","
For generating method, system and the equipment of data model in client cloud communication system, it can be included using machine learning techniques to generate the sorter model of the first family of the cloud corpus of description behavior vector.These vectors can be analyzed, to identify there is highest possibility mobile device is fatefully determined that mobile device behavior is malice or benign factor in the sorter model of the first family.Based on the analysis, based on identified factor, the sorter model of second family can be generated, the factor significantly reduced and data point are identified as with enabling the mobile device fatefully to determine that the mobile device behavior is malice or benign relevant by the sorter model of the second family.Can the sorter model based on the second family generate mobile device classifier modules, and make it can be used for being downloaded by mobile device, including to equipment that behavior vector contributes.
",G06,2018,"
for generating method system and the equipment of data model in client cloud communication system it can be included using machine learning techniques to generate the sorter model of the first family of the cloud corpus of description behavior vectorthese vectors can be analyzed to identify there is highest possibility mobile device is fatefully determined that mobile device behavior is malice or benign factor in the sorter model of the first familybased on the analysis based on identified factor the sorter model of second family can be generated the factor significantly reduced and data point are identified as with enabling the mobile device fatefully to determine that the mobile device behavior is malice or benign relevant by the sorter model of the second familycan the sorter model based on the second family generate mobile device classifier modules and make it can be used for being downloaded by mobile device including to equipment that behavior vector contributes
",0,G06_0,2,5.0,5.0,5.0
US9721212B2,367,Efficient on-device binary analysis for auto-generated behavioral models ,2017-08-01,"['US20170250994A1', 'US9104864B2', 'CN104303538B', 'US20190363893A1', 'US20180027006A1', 'US9998484B1', 'US9213729B2', 'US9781143B1', 'CN105830080B', 'US9330257B2', 'CN106133642B', 'JP2015153428A', 'KR20170015129A', 'CN106716382B', 'US20190068627A1', 'JP2020510926A', 'US8688601B2', 'KR102057565B1', 'US10762206B2', 'US10783254B2', 'US9756066B2', 'US10742676B2']","
Various aspects provide methods implemented by at least one processor executing on a mobile communication device to efficiently identify, classify, model, prevent, and/or correct the non-benign (e.g., performance degrading) conditions and/or behaviors that are related to an application operating on the device. Specifically, in various aspects, the mobile computing device may derive or extract application-specific features by performing a binary analysis of an application and may determine the application's category (e.g., a games, entertainment, or news category) based on the application-specific features. The mobile computing device may also obtain a classifier model associated with the application's category that includes various conditions, features, behaviors and corrective actions that may be used to quickly identify and correct non-benign behaviors (e.g., undesirable, malicious, and/or performance-degrading behaviors) occurring on the mobile computing device that are related to the application.
",G06,2017,"
various aspects provide methods implemented by at least one processor executing on a mobile communication device to efficiently identify classify model prevent and/or correct the non-benign (eg performance degrading) conditions and/or behaviors that are related to an application operating on the device specifically in various aspects the mobile computing device may derive or extract application-specific features by performing a binary analysis of an application and may determine the application's category (eg a games entertainment or news category) based on the application-specific features the mobile computing device may also obtain a classifier model associated with the application's category that includes various conditions features behaviors and corrective actions that may be used to quickly identify and correct non-benign behaviors (eg undesirable malicious and/or performance-degrading behaviors) occurring on the mobile computing device that are related to the application
",0,G06_0,2,5.0,5.0,5.0
CN110119621B,375,"Attack defense method, system and defense device for abnormal system call ",2020-08-21,"['US10356107B1', 'US9563843B2', 'KR101826865B1', 'US10104107B2', 'CN104303538B', 'AU2017254815B2', 'US10248910B2', 'US10089582B2', 'US20160055335A1', 'US9043905B1', 'US20170024660A1', 'US20140279762A1', 'US9324034B2', 'KR101848576B1', 'US20160078362A1', 'US9774614B2', 'US9721212B2', 'US9910984B2', 'US20170046510A1', 'US20160078347A1', 'US20140187177A1']","
The invention relates to an attack defense method, a system and a defense device for abnormal system call, wherein the attack defense method comprises the following steps: when detecting that a program is executed, acquiring a system calling sequence from an operating system, and returning the system calling sequence to a server side; performing feature coding on the system calling sequence through a second encoder to obtain a corresponding second feature vector set, wherein the second encoder is constructed according to coding parameters of a first encoder in a self-coding and decoding module transmitted from a server; and comparing the second feature vectors in the feature space through a regression equation, and determining whether the system call sequence is normal system call according to the comparison result, wherein the regression equation is obtained by the server side performing regression equation operation on the first feature vector set and is transmitted. By implementing the technical scheme of the invention, the detection effectiveness of unseen malicious software can be effectively improved, and the operation resources can be effectively distributed and the hardware overhead cost can be reduced.
",G06,2020,"
the invention relates to an attack defense method a system and a defense device for abnormal system call wherein the attack defense method comprises the following steps: when detecting that a program is executed acquiring a system calling sequence from an operating system and returning the system calling sequence to a server side; performing feature coding on the system calling sequence through a second encoder to obtain a corresponding second feature vector set wherein the second encoder is constructed according to coding parameters of a first encoder in a self-coding and decoding module transmitted from a server; and comparing the second feature vectors in the feature space through a regression equation and determining whether the system call sequence is normal system call according to the comparison result wherein the regression equation is obtained by the server side performing regression equation operation on the first feature vector set and is transmitted by implementing the technical scheme of the invention the detection effectiveness of unseen malicious software can be effectively improved and the operation resources can be effectively distributed and the hardware overhead cost can be reduced
",0,G06_0,2,5.0,5.0,5.0
US9324034B2,380,On-device real-time behavior analyzer ,2016-04-26,"['US20180167402A1', 'CN105830081B', 'US9369476B2', 'US10045218B1', 'KR20140137003A', 'US9672355B2', 'CN104541293B', 'US20190245876A1', 'US10419458B2', 'EP2908495A1', 'KR101837923B1', 'US10728270B2', 'KR101626243B1', 'US9756066B2', 'US10742676B2', 'JP6050560B1']","
Methods, systems and devices for generating data models in a communication system may include applying machine learning techniques to generate a first family of classifier models using a boosted decision tree to describe a corpus of behavior vectors. Such behavior vectors may be used to compute a weight value for one or more nodes of the boosted decision tree. Classifier models factors having a high probably of determining whether a mobile device behavior is benign or not benign based on the computed weight values may be identified. Computing weight values for boosted decision tree nodes may include computing an exclusive answer ratio for generated boosted decision tree nodes. The identified factors may be applied to the corpus of behavior vectors to generate a second family of classifier models identifying fewer factors and data points relevant for enabling the mobile device to determine whether a behavior is benign or not benign.
",G06,2016,"
methods systems and devices for generating data models in a communication system may include applying machine learning techniques to generate a first family of classifier models using a boosted decision tree to describe a corpus of behavior vectors such behavior vectors may be used to compute a weight value for one or more nodes of the boosted decision tree classifier models factors having a high probably of determining whether a mobile device behavior is benign or not benign based on the computed weight values may be identified computing weight values for boosted decision tree nodes may include computing an exclusive answer ratio for generated boosted decision tree nodes the identified factors may be applied to the corpus of behavior vectors to generate a second family of classifier models identifying fewer factors and data points relevant for enabling the mobile device to determine whether a behavior is benign or not benign
",0,G06_0,2,5.0,5.0,5.0
US20170046510A1,382,Methods and Systems of Building Classifier Models in Computing Devices ,2017-02-16,"['EP3080741A2', 'AU2016204068B2', 'US9779236B2', 'CN105590055B', 'KR20170015129A', 'JP2020510926A', 'US9369476B2', 'KR102057565B1', 'CN104541293B', 'US9742559B2', 'US10122747B2', 'US10419458B2', 'KR101626243B1', 'US9756066B2', 'CN106133642B', 'CN106716382B', 'US9753796B2', 'US20190068627A1']","
Methods, and computing devices implementing the methods, use application-based classifier models to improve the efficiency and performance of a comprehensive behavioral monitoring and analysis system predicting whether a software application is causing undesirable or performance depredating behavior. The application-based classifier models may include a reduced and more focused subset of the decision nodes that are included in a full or more complete classifier model that may be received or generated in the computing device. The application groups may be represented by application groups formed of computing device applications sharing related features, and may be generated using one or more clustering algorithms. Lean classifier models may be generated for each of the application group and may incorporate historical user input regarding execution permissions for features of applications within an application group.
",G06,2017,"
methods and computing devices implementing the methods use application-based classifier models to improve the efficiency and performance of a comprehensive behavioral monitoring and analysis system predicting whether a software application is causing undesirable or performance depredating behavior the application-based classifier models may include a reduced and more focused subset of the decision nodes that are included in a full or more complete classifier model that may be received or generated in the computing device the application groups may be represented by application groups formed of computing device applications sharing related features and may be generated using one or more clustering algorithms lean classifier models may be generated for each of the application group and may incorporate historical user input regarding execution permissions for features of applications within an application group
",0,G06_0,2,5.0,5.0,5.0
US9438620B2,406,Control flow graph representation and classification ,2016-09-06,"['US9147072B2', 'US10140451B2', 'EP3404948B1', 'US10176321B2', 'US10104107B2', 'US20200137097A1', 'US9686023B2', 'US10831893B2', 'US10762206B2', 'EP3191960B1', 'US10834124B2', 'US10121000B1', 'US9607146B2', 'US9189624B2', 'US10248910B2', 'US9756066B2', 'US9774614B2', 'US20190297096A1']","
A software sample is identified that includes code and a control flow graph is generated for each of a plurality of functions included in the sample. Features are identified in each of the functions that correspond to instances of a set of control flow fragment types. A feature set is generated for the sample from the identified features.
",H04,2016,"
a software sample is identified that includes code and a control flow graph is generated for each of a plurality of functions included in the sample features are identified in each of the functions that correspond to instances of a set of control flow fragment types a feature set is generated for the sample from the identified features
",0,H04_0,2,5.0,95.0,5.0
